,address,area,beds,full_bathrooms,half_bathrooms,price
98,"2717 W HALEY Drive, Anthem, AZ 85086","2,944 sq.ft.",3 beds,3 ,,"$799,900"
99,"3336 E WINDSONG Drive, Phoenix, AZ 85048","2,299 sq.ft.",4 beds,3 ,,"$635,000"
100,"31640 N 24TH Drive, Phoenix, AZ 85085","2,155 sq.ft.",4 beds,3 ,,"$585,000"
101,"25424 N 19TH Drive, Phoenix, AZ 85085","2,399 sq.ft.",3 beds,3 ,,"$615,000"
102,"3918 E ROCKINGHAM Road, Phoenix, AZ 85050","2,558 sq.ft.",4 beds,2 ,,"$840,000"
103,"3935 E ROUGH RIDER Road 1233, Phoenix, AZ 85050","1,535 sq.ft.",3 beds,3 ,,"$480,000"
104,"2249 E SUNLAND Avenue, Phoenix, AZ 85040","2,085 sq.ft.",3 beds,3 ,,"$439,900"
105,"2101 E PASADENA Avenue, Phoenix, AZ 85016","2,538 sq.ft.",3 beds,2 ,,"$1,047,500"
106,"3872 W RANIER Court, Anthem, AZ 85086","2,168 sq.ft.",4 beds,3 ,,"$529,900"
107,"26 W WILLETTA Street, Phoenix, AZ 85003","1,968 sq.ft.",3 beds,2 ,,"$945,000"
108,"3519 E PICCADILLY Road, Phoenix, AZ 85018","1,909 sq.ft.",4 beds,3 ,,"$819,000"
109,"2726 W SAN MIGUEL Avenue, Phoenix, AZ 85017","1,092 sq.ft.",3 beds,1 ,,"$325,000"
110,"16832 S BLUE Court, Phoenix, AZ 85048","1,539 sq.ft.",3 beds,3 ,,"$499,000"
111,"2514 W Balao Drive, Phoenix, AZ 85085","2,276 sq.ft.",3 beds,2 ,,"$610,000"
112,"41511 N MILL CREEK Way, Anthem, AZ 85086","2,039 sq.ft.",3 beds,2 ,,"$570,000"
113,"2919 E CHARLESTON Avenue, Phoenix, AZ 85032","1,886 sq.ft.",3 beds,2 ,,"$485,000"
114,"3530 N 63RD Drive, Phoenix, AZ 85033","1,110 sq.ft.",3 beds,2 ,,"$344,900"
115,"2022 W ASTER Drive, Phoenix, AZ 85029","1,477 sq.ft.",4 beds,2 ,,"$439,000"
116,"4220 E TARO Lane, Phoenix, AZ 85050","2,408 sq.ft.",4 beds,3 ,,"$750,000"
117,"42217 N ASTORIA Way, Anthem, AZ 85086","3,544 sq.ft.",4 beds,4 ,,"$1,200,000"
118,"4501 E TURNEY Avenue, Phoenix, AZ 85018","3,516 sq.ft.",4 beds,5 ,,"$2,750,000"
119,"40600 N UNION Trail, Anthem, AZ 85086","2,562 sq.ft.",5 beds,2 ,,"$599,500"
